"Position X","Position Y","Position Z","Unit","Category","Collection","Time","Parent","ID"
33.56,74.80,0.50,"um","Spot","Position",1,1000000000,0
33.42,65.42,0.50,"um","Spot","Position",2,1000000000,19
31.07,56.67,0.50,"um","Spot","Position",3,1000000000,40
29.32,50.04,0.50,"um","Spot","Position",4,1000000000,62
31.49,46.49,0.50,"um","Spot","Position",5,1000000000,86
34.18,47.95,0.50,"um","Spot","Position",6,1000000000,110
34.17,48.39,0.50,"um","Spot","Position",7,1000000000,135
33.36,47.71,0.50,"um","Spot","Position",8,1000000000,162
34.41,48.72,0.50,"um","Spot","Position",9,1000000000,194
32.42,47.03,0.50,"um","Spot","Position",10,1000000000,226
30.99,45.23,0.50,"um","Spot","Position",11,1000000000,260
31.42,45.15,0.50,"um","Spot","Position",12,1000000000,295
31.92,44.44,0.50,"um","Spot","Position",13,1000000000,334
31.08,44.10,0.50,"um","Spot","Position",14,1000000000,373
30.90,43.32,0.50,"um","Spot","Position",15,1000000000,413
30.47,42.99,0.50,"um","Spot","Position",16,1000000000,454
30.57,41.63,0.50,"um","Spot","Position",17,1000000000,502
30.95,41.31,0.50,"um","Spot","Position",18,1000000000,551
30.88,40.58,0.50,"um","Spot","Position",19,1000000000,600
30.36,39.00,0.50,"um","Spot","Position",20,1000000000,650
32.07,39.80,0.50,"um","Spot","Position",21,1000000000,698
33.11,39.74,0.50,"um","Spot","Position",22,1000000000,746
32.43,40.41,0.50,"um","Spot","Position",23,1000000000,795
33.84,39.46,0.50,"um","Spot","Position",24,1000000000,840
33.06,38.24,0.50,"um","Spot","Position",25,1000000000,889
32.08,36.19,0.50,"um","Spot","Position",26,1000000000,939
34.40,36.13,0.50,"um","Spot","Position",27,1000000000,992
33.26,35.24,0.50,"um","Spot","Position",28,1000000000,1041
36.97,34.43,0.50,"um","Spot","Position",29,1000000000,1093
36.33,35.56,0.50,"um","Spot","Position",30,1000000000,1142
34.71,34.06,0.50,"um","Spot","Position",31,1000000000,1188
32.66,19.64,0.50,"um","Spot","Position",32,1000000000,1235
31.63,19.37,0.50,"um","Spot","Position",33,1000000000,1282
31.58,20.95,0.50,"um","Spot","Position",34,1000000000,1330
30.56,22.29,0.50,"um","Spot","Position",35,1000000000,1376
28.68,21.93,0.50,"um","Spot","Position",36,1000000000,1424
29.48,23.09,0.50,"um","Spot","Position",37,1000000000,1472
27.50,22.06,0.50,"um","Spot","Position",38,1000000000,1523
26.54,24.00,0.50,"um","Spot","Position",39,1000000000,1571
26.13,23.24,0.50,"um","Spot","Position",40,1000000000,1619
25.64,22.94,0.50,"um","Spot","Position",41,1000000000,1665
23.94,23.13,0.50,"um","Spot","Position",42,1000000000,1714
22.05,25.33,0.50,"um","Spot","Position",44,1000000000,1818
20.94,25.72,0.50,"um","Spot","Position",45,1000000000,1872
19.52,26.47,0.50,"um","Spot","Position",46,1000000000,1932
20.05,28.34,0.50,"um","Spot","Position",47,1000000000,1988
21.46,29.96,0.50,"um","Spot","Position",48,1000000000,2046
19.84,30.28,0.50,"um","Spot","Position",49,1000000000,2103
22.89,32.40,0.50,"um","Spot","Position",50,1000000000,2163
22.51,33.69,0.50,"um","Spot","Position",51,1000000000,2219
50.30,184.22,0.50,"um","Spot","Position",1,1000000001,1
48.75,178.54,0.50,"um","Spot","Position",2,1000000001,21
48.77,171.01,0.50,"um","Spot","Position",3,1000000001,42
49.07,169.62,0.50,"um","Spot","Position",4,1000000001,63
49.46,168.23,0.50,"um","Spot","Position",5,1000000001,88
48.39,170.56,0.50,"um","Spot","Position",6,1000000001,112
49.15,171.04,0.50,"um","Spot","Position",7,1000000001,137
49.62,171.37,0.50,"um","Spot","Position",8,1000000001,164
49.83,171.74,0.50,"um","Spot","Position",9,1000000001,197
49.96,172.86,0.50,"um","Spot","Position",10,1000000001,229
50.67,175.05,0.50,"um","Spot","Position",11,1000000001,264
